epoch,train_loss,train_acc,val_loss,val_acc,time_s,memory_mb,train_nfe,val_nfe
1,1.3809355065239801,0.49246666666666666,1.2915332935333252,0.539,8.833358387000317,516.765696,0.0,0.0
2,0.966368491405911,0.6568666666666667,0.9920396545410156,0.6512,8.556974419000198,519.582208,0.0,0.0
3,0.7834275797420078,0.7252222222222222,0.7934361989974975,0.725,8.863791173999743,519.582208,0.0,0.0
4,0.677660948032803,0.7630888888888889,0.7673623218536377,0.7244,8.83819713899993,519.582208,0.0,0.0
5,0.6073833459801145,0.7906666666666666,0.7101783535003662,0.755,9.09155983599976,519.582208,0.0,0.0
6,0.5476197491115994,0.8096444444444445,0.734257311296463,0.7506,8.831694481999875,519.582208,0.0,0.0
7,0.5048781138420105,0.8260666666666666,0.6719813967466355,0.7664,8.782949241000097,519.582208,0.0,0.0
8,0.46527979388237,0.8386444444444444,0.8040102381706238,0.7248,8.823173408999992,519.582208,0.0,0.0
9,0.4297131085448795,0.8519555555555556,0.5414814192295074,0.8206,8.81294458299999,519.582208,0.0,0.0
10,0.40212461926672194,0.8603111111111111,0.5085791085839272,0.8306,8.91593581699999,519.582208,0.0,0.0
11,0.37783766201867,0.8692444444444445,0.5329696908712387,0.8138,8.654732371999671,519.582208,0.0,0.0
12,0.3639139861424764,0.8737333333333334,0.509193320274353,0.8314,8.858643460000167,519.582208,0.0,0.0
13,0.3365938745074802,0.8833777777777778,0.4749795929908752,0.8432,8.954361591000179,519.582208,0.0,0.0
14,0.32324081394937304,0.8858666666666667,0.4543512029767036,0.8444,8.793606667999939,519.582208,0.0,0.0
15,0.298305289583736,0.8965777777777778,0.48542659985423087,0.836,8.515081467999607,519.582208,0.0,0.0
16,0.2830070032119751,0.9014666666666666,0.4472053527623415,0.8474,8.70656730499968,519.582208,0.0,0.0
17,0.27026259031295774,0.9067777777777778,0.4102006240606308,0.8616,8.778471116999754,519.582208,0.0,0.0
18,0.2548369356950124,0.9113111111111111,0.48050767273902895,0.8476,8.750233711999954,519.582208,0.0,0.0
19,0.24689504442744784,0.9131333333333334,0.44377829336822033,0.8582,8.668960190999769,519.582208,0.0,0.0
20,0.23129842077361212,0.9194,0.38490629360377787,0.8734,9.293190516999857,519.582208,0.0,0.0
21,0.21729448107613458,0.9244444444444444,0.4384045772314072,0.848,8.53248338100002,519.582208,0.0,0.0
22,0.2051420557392968,0.9272222222222222,0.37153540271520613,0.877,8.703027341000052,519.582208,0.0,0.0
23,0.19615757231182523,0.9316222222222222,0.38710158420205115,0.8788,9.203253958000005,519.582208,0.0,0.0
24,0.18360043459998238,0.9360222222222222,0.36570745894908907,0.8782,8.7770070079996,519.582208,0.0,0.0
25,0.17230138498677147,0.9397111111111112,0.4036249865591526,0.8768,8.854001213999709,519.582208,0.0,0.0
26,0.15979058570596907,0.9441777777777778,0.35590943113863466,0.8802,8.510109578000083,519.582208,0.0,0.0
27,0.1515408744573593,0.9464666666666667,0.35251784024424854,0.8848,8.441226461000042,519.582208,0.0,0.0
28,0.14192439652283986,0.9510444444444445,0.3495749774686992,0.895,9.007011696000063,519.582208,0.0,0.0
29,0.1333019517686632,0.9523555555555555,0.3714874044954777,0.8892,8.72946941300006,519.582208,0.0,0.0
30,0.12707899655765958,0.9553777777777778,0.3655860038802028,0.8864,9.181349693999891,519.582208,0.0,0.0
31,0.1213300031542778,0.9573555555555555,0.3730111142426729,0.8842,8.795584113999666,519.582208,0.0,0.0
32,0.10542956342962054,0.9627333333333333,0.4018895062446594,0.8866,8.945897957999932,519.582208,0.0,0.0
33,0.10291007359027862,0.964,0.35633879971802235,0.8948,8.609427542000049,519.582208,0.0,0.0
34,0.09477553967634837,0.9666888888888889,0.3721072705924511,0.8924,9.007266018999871,519.582208,0.0,0.0
35,0.09017321206331252,0.9687777777777777,0.34794114762842654,0.9032,9.352845002999857,519.582208,0.0,0.0
36,0.0795736893441942,0.9717333333333333,0.4046513585820794,0.8862,9.46191341199983,519.582208,0.0,0.0
37,0.07419062473906411,0.9744888888888888,0.3608974818989634,0.8946,8.71296968500019,519.582208,0.0,0.0
38,0.07112030681967735,0.9754888888888888,0.365821327264607,0.898,8.554332251000233,519.582208,0.0,0.0
39,0.06434223751028378,0.9773333333333334,0.38379458718597886,0.895,9.026160333999997,519.582208,0.0,0.0
40,0.05890519729057948,0.9801333333333333,0.3680986422947608,0.9022,8.520255154999631,519.582208,0.0,0.0
41,0.05683505003187392,0.9810888888888889,0.364434562329948,0.8942,8.610758013999657,519.582208,0.0,0.0
42,0.0505868340227339,0.983,0.3621659966349602,0.9028,8.74394036800004,519.582208,0.0,0.0
43,0.04604482466114892,0.9847555555555556,0.35293750681877134,0.9034,9.598344416000145,519.582208,0.0,0.0
44,0.04472750981118944,0.9851555555555556,0.36132919050427154,0.9034,8.788726285999928,519.582208,0.0,0.0
45,0.040184750527805756,0.9867777777777778,0.35611563805807384,0.9046,8.80326485500018,519.582208,0.0,0.0
46,0.03647086208346817,0.9882444444444445,0.36524986886531113,0.9056,8.649360270000216,519.582208,0.0,0.0
47,0.035611729927857716,0.9886888888888888,0.34978252459317444,0.9062,8.662595681000312,519.582208,0.0,0.0
48,0.03385032676325904,0.9895777777777778,0.3688766038298607,0.9114,8.83148513199967,519.582208,0.0,0.0
49,0.03004253873957528,0.9908888888888889,0.3656619162618881,0.9046,8.765998796000076,519.582208,0.0,0.0
50,0.027655604324738185,0.9910222222222222,0.3528814599879086,0.9082,8.902280336999866,519.582208,0.0,0.0
51,0.02613081185552809,0.9923777777777778,0.369766759763658,0.908,8.724692690999746,519.582208,0.0,0.0
52,0.024646257419056364,0.9931333333333333,0.37181169911921025,0.9038,8.924625508999725,519.582208,0.0,0.0
53,0.02437166428367297,0.9932444444444445,0.36987907524509356,0.9074,8.74566373100015,519.582208,0.0,0.0
54,0.022458056791623434,0.9937777777777778,0.3552888216940686,0.908,9.080802933000086,519.582208,0.0,0.0
55,0.021673280093073843,0.9940222222222223,0.37399031589361836,0.906,8.721580314999756,519.582208,0.0,0.0
56,0.02213689705994394,0.9938,0.36055394819900394,0.9096,8.873774457999843,519.582208,0.0,0.0
57,0.020461833657324315,0.9947555555555555,0.3715292603407055,0.9056,8.872916006000196,519.582208,0.0,0.0
58,0.02012342584033807,0.9946,0.3522700452681631,0.9124,8.638330246999885,519.582208,0.0,0.0
59,0.019601976807249916,0.9949333333333333,0.3698168400088325,0.91,9.136370956000064,519.582208,0.0,0.0
60,0.020861310503549047,0.9943555555555555,0.35569220313467087,0.9056,8.6480379300001,519.582208,0.0,0.0
